Series ID,Date,Value
LAUCN290950000000003,2019-01-01,4.3
LAUCN290950000000003,2019-02-01,4
LAUCN290950000000003,2019-03-01,4.2
LAUCN290950000000003,2019-04-01,3.1
LAUCN290950000000003,2019-05-01,3.4
LAUCN290950000000003,2019-06-01,3.8
LAUCN290950000000003,2019-07-01,4.5
LAUCN290950000000003,2019-08-01,4
LAUCN290950000000003,2019-09-01,3
LAUCN290950000000003,2019-10-01,3.2
LAUCN290950000000003,2019-11-01,3.4
LAUCN290950000000003,2019-12-01,3.7
LAUCN290950000000003,2020-01-01,4.3
LAUCN290950000000003,2020-02-01,3.9
LAUCN290950000000003,2020-03-01,4.4
LAUCN290950000000003,2020-04-01,11.4
LAUCN290950000000003,2020-05-01,11.6
LAUCN290950000000003,2020-06-01,8.8
LAUCN290950000000003,2020-07-01,8.6
LAUCN290950000000003,2020-08-01,8.8
LAUCN290950000000003,2020-09-01,5.5
LAUCN290950000000003,2020-10-01,4.9
LAUCN290950000000003,2020-11-01,5
LAUCN290950000000003,2020-12-01,6.9
