,date,cases,deaths,newCases
0,2020-01-22,0.0,0.0,0.0
1,2020-01-23,0.0,0.0,0.0
2,2020-01-24,0.0,0.0,0.0
3,2020-01-25,0.0,0.0,0.0
4,2020-01-26,0.0,0.0,0.0
5,2020-01-27,0.0,0.0,0.0
6,2020-01-28,0.0,0.0,0.0
7,2020-01-29,0.0,0.0,0.0
8,2020-01-30,0.0,0.0,0.0
9,2020-01-31,0.0,0.0,0.0
10,2020-02-01,0.0,0.0,0.0
11,2020-02-02,0.0,0.0,0.0
12,2020-02-03,0.0,0.0,0.0
13,2020-02-04,0.0,0.0,0.0
14,2020-02-05,0.0,0.0,0.0
15,2020-02-06,0.0,0.0,0.0
16,2020-02-07,0.0,0.0,0.0
17,2020-02-08,0.0,0.0,0.0
18,2020-02-09,0.0,0.0,0.0
19,2020-02-10,0.0,0.0,0.0
20,2020-02-11,0.0,0.0,0.0
21,2020-02-12,0.0,0.0,0.0
22,2020-02-13,0.0,0.0,0.0
23,2020-02-14,0.0,0.0,0.0
24,2020-02-15,0.0,0.0,0.0
25,2020-02-16,0.0,0.0,0.0
26,2020-02-17,0.0,0.0,0.0
27,2020-02-18,0.0,0.0,0.0
28,2020-02-19,0.0,0.0,0.0
29,2020-02-20,0.0,0.0,0.0
30,2020-02-21,0.0,0.0,0.0
31,2020-02-22,0.0,0.0,0.0
32,2020-02-23,0.0,0.0,0.0
33,2020-02-24,0.0,0.0,0.0
34,2020-02-25,0.0,0.0,0.0
35,2020-02-26,0.0,0.0,0.0
36,2020-02-27,0.0,0.0,0.0
37,2020-02-28,0.0,0.0,0.0
38,2020-02-29,0.0,0.0,0.0
39,2020-03-01,0.0,0.0,0.0
40,2020-03-02,0.0,0.0,0.0
41,2020-03-03,0.0,0.0,0.0
42,2020-03-04,0.0,0.0,0.0
43,2020-03-05,0.0,0.0,0.0
44,2020-03-06,0.0,0.0,0.0
45,2020-03-07,0.0,0.0,0.0
46,2020-03-08,0.0,0.0,0.0
47,2020-03-09,0.0,0.0,0.0
48,2020-03-10,0.0,0.0,0.0
49,2020-03-11,0.0,0.0,0.0
50,2020-03-12,0.0,0.0,0.0
51,2020-03-13,0.0,0.0,0.0
52,2020-03-14,0.0,0.0,0.0
53,2020-03-15,0.0,0.0,0.0
54,2020-03-16,0.0,0.0,0.0
55,2020-03-17,2.0,0.0,2.0
56,2020-03-18,3.0,0.0,1.0
57,2020-03-19,3.0,0.0,0.0
58,2020-03-20,5.0,1.0,2.0
59,2020-03-21,5.0,1.0,0.0
60,2020-03-22,5.0,1.0,0.0
61,2020-03-23,10.0,1.0,5.0
62,2020-03-24,14.0,1.0,4.0
63,2020-03-25,17.0,1.0,3.0
64,2020-03-26,31.0,1.0,14.0
65,2020-03-27,41.0,1.0,10.0
66,2020-03-28,43.0,1.0,2.0
67,2020-03-29,48.0,1.0,5.0
68,2020-03-30,56.0,1.0,8.0
69,2020-03-31,77.0,1.0,21.0
70,2020-04-01,86.0,2.0,9.0
71,2020-04-02,103.0,2.0,17.0
72,2020-04-03,120.0,3.0,17.0
73,2020-04-04,135.0,3.0,15.0
74,2020-04-05,139.0,4.0,4.0
75,2020-04-06,149.0,4.0,10.0
76,2020-04-07,154.0,4.0,5.0
77,2020-04-08,167.0,5.0,13.0
78,2020-04-09,177.0,5.0,10.0
79,2020-04-10,193.0,5.0,16.0
80,2020-04-11,208.0,7.0,15.0
81,2020-04-12,213.0,7.0,5.0
82,2020-04-13,223.0,7.0,10.0
83,2020-04-14,237.0,9.0,14.0
84,2020-04-15,243.0,9.0,6.0
85,2020-04-16,260.0,11.0,17.0
86,2020-04-17,267.0,11.0,7.0
87,2020-04-18,268.0,11.0,1.0
88,2020-04-19,268.0,11.0,0.0
89,2020-04-20,271.0,11.0,3.0
90,2020-04-21,279.0,11.0,8.0
91,2020-04-22,288.0,12.0,9.0
92,2020-04-23,296.0,12.0,8.0
93,2020-04-24,300.0,12.0,4.0
94,2020-04-25,303.0,12.0,3.0
95,2020-04-26,307.0,12.0,4.0
96,2020-04-27,309.0,12.0,2.0
97,2020-04-28,309.0,12.0,0.0
98,2020-04-29,313.0,13.0,4.0
99,2020-04-30,323.0,14.0,10.0
100,2020-05-01,329.0,14.0,6.0
101,2020-05-02,339.0,14.0,10.0
102,2020-05-03,342.0,14.0,3.0
103,2020-05-04,351.0,15.0,9.0
104,2020-05-05,357.0,16.0,6.0
105,2020-05-06,362.0,16.0,5.0
106,2020-05-07,373.0,16.0,11.0
107,2020-05-08,380.0,16.0,7.0
108,2020-05-09,390.0,16.0,10.0
109,2020-05-10,398.0,16.0,8.0
110,2020-05-11,401.0,16.0,3.0
111,2020-05-12,402.0,16.0,1.0
112,2020-05-13,402.0,16.0,0.0
113,2020-05-14,407.0,16.0,5.0
114,2020-05-15,425.0,16.0,18.0
115,2020-05-16,432.0,16.0,7.0
116,2020-05-17,446.0,16.0,14.0
117,2020-05-18,454.0,16.0,8.0
118,2020-05-19,457.0,16.0,3.0
119,2020-05-20,465.0,16.0,8.0
120,2020-05-21,469.0,16.0,4.0
121,2020-05-22,485.0,16.0,16.0
122,2020-05-23,495.0,16.0,10.0
123,2020-05-24,517.0,16.0,22.0
124,2020-05-25,520.0,16.0,3.0
125,2020-05-26,528.0,16.0,8.0
126,2020-05-27,540.0,16.0,12.0
127,2020-05-28,554.0,17.0,14.0
128,2020-05-29,560.0,17.0,6.0
129,2020-05-30,570.0,19.0,10.0
130,2020-05-31,596.0,19.0,26.0
131,2020-06-01,613.0,19.0,17.0
132,2020-06-02,637.0,22.0,24.0
133,2020-06-03,656.0,22.0,19.0
134,2020-06-04,676.0,22.0,20.0
135,2020-06-05,686.0,22.0,10.0
136,2020-06-06,696.0,22.0,10.0
137,2020-06-07,702.0,22.0,6.0
138,2020-06-08,716.0,22.0,14.0
139,2020-06-09,727.0,22.0,11.0
140,2020-06-10,752.0,22.0,25.0
141,2020-06-11,782.0,22.0,30.0
142,2020-06-12,791.0,22.0,9.0
143,2020-06-13,819.0,22.0,28.0
144,2020-06-14,819.0,22.0,0.0
145,2020-06-15,865.0,22.0,46.0
146,2020-06-16,889.0,26.0,24.0
147,2020-06-17,916.0,26.0,27.0
148,2020-06-18,933.0,27.0,17.0
149,2020-06-19,976.0,27.0,43.0
150,2020-06-20,1016.0,27.0,40.0
151,2020-06-21,1018.0,27.0,2.0
152,2020-06-22,1030.0,27.0,12.0
153,2020-06-23,1054.0,33.0,24.0
154,2020-06-24,1076.0,33.0,22.0
155,2020-06-25,1074.0,36.0,0.0
156,2020-06-26,1103.0,36.0,29.0
157,2020-06-27,1132.0,35.0,29.0
158,2020-06-28,1149.0,36.0,17.0
159,2020-06-29,1172.0,36.0,23.0
160,2020-06-30,1210.0,36.0,38.0
161,2020-07-01,1233.0,37.0,23.0
162,2020-07-02,1257.0,39.0,24.0
163,2020-07-03,1306.0,39.0,49.0
164,2020-07-04,1361.0,40.0,55.0
165,2020-07-05,1367.0,40.0,6.0
166,2020-07-06,1399.0,40.0,32.0
167,2020-07-07,1436.0,42.0,37.0
168,2020-07-08,1479.0,42.0,43.0
169,2020-07-09,1527.0,42.0,48.0
170,2020-07-10,1612.0,42.0,85.0
171,2020-07-11,1657.0,43.0,45.0
