,Date,COVID-19 Cases,COVID-19 Deaths,COVID-19 New Cases,Crimes,Unemployment Rate (%),Unemployment
0,2020-01-01,0.0,0.0,0.0,0,4.3,15683.0
1,2020-02-01,0.0,0.0,0.0,0,3.9,14354.0
2,2020-03-01,360.0,12.0,77.0,0,4.4,16106.0
3,2020-04-01,6908.0,253.0,246.0,0,11.4,40281.0
4,2020-05-01,13746.0,497.0,273.0,0,11.6,41145.0
5,2020-06-01,26685.0,795.0,616.0,0,8.8,31967.0
6,2020-07-01,63490.0,1444.0,2110.0,0,8.6,31744.0
7,2020-08-01,139952.0,2099.0,2201.0,0,8.8,32069.0
8,2020-09-01,199999.0,2685.0,2067.0,0,5.5,19584.0
9,2020-10-01,277068.0,3596.0,2762.0,11871,4.9,17235.0
10,2020-11-01,418167.0,4773.0,6899.0,13219,5.0,17657.0
11,2020-12-01,643827.0,6425.0,6046.0,14590,6.9,25125.0
